time,open,high,low,close
2024-07-15,18485.9136,18641.5321,18397.8338,18472.5657
2024-07-16,18534.2683,18576.8315,18386.0692,18509.3402
2024-07-17,18188.1877,18223.2368,17972.8657,17996.9246
2024-07-18,18119.1526,18130.8663,17759.5448,17871.2231
2024-07-19,17835.5916,17935.1415,17691.4311,17726.9398
2024-07-22,17923.6454,18040.9933,17839.7602,18007.5678
2024-07-23,17982.7357,18128.3842,17968.0996,17997.3512
2024-07-24,17733.9071,17747.0579,17313.5182,17342.4133
2024-07-25,17352.6438,17544.4592,17033.9643,17181.7245
2024-07-26,17331.9462,17454.5665,17239.993,17357.8816
2024-07-29,17444.3904,17535.3161,17299.8314,17370.2007
2024-07-30,17424.1004,17468.5585,17015.3761,17147.4167
2024-07-31,17499.2312,17693.9838,17438.6021,17599.3997
08/01/2024,17647.0318,17791.5848,17051.4176,17194.1453
08/02/2024,16780.4461,16920.6258,16582.7898,16776.1636
08/05/2024,15712.5321,16453.4584,15708.5374,16200.082
08/06/2024,16261.36,16620.315,16137.6457,16366.8545
08/07/2024,16622.3098,16709.8079,16179.5317,16195.8055
08/08/2024,16408.2653,16694.2476,16262.9315,16660.021
08/09/2024,16636.5223,16789.2222,16574.5749,16745.3021
08/12/2024,16793.6427,16895.7871,16699.3882,16780.6092
2024-08-13,16944.7355,17192.7938,16943.9529,17187.6075
2024-08-14,17227.6401,17260.7272,17032.1677,17192.6008
2024-08-15,17394.5453,17602.7184,17375.4113,17594.4956
2024-08-16,17516.4041,17674.6497,17502.8247,17631.7204
2024-08-19,17649.7414,17877.4423,17585.5782,17876.7712
2024-08-20,17849.0874,17932.533,17758.1954,17816.9372
2024-08-21,17840.5121,17963.0698,17790.982,17918.9868
2024-08-22,17993.7204,18017.6894,17589.1498,17619.3538
2024-08-23,17772.7275,17941.2651,17700.2673,17877.7937
2024-08-26,17867.8463,17909.0856,17645.6873,17725.765
2024-08-27,17655.5216,17789.7193,17573.3714,17754.8197
2024-08-28,17738.802,17759.9433,17439.3968,17556.0273
2024-08-29,17610.5712,17789.2134,17482.6043,17516.4305
2024-08-30,17650.4906,17720.3748,17498.792,17713.6241
09/03/2024,17585.4492,17585.4492,17057.7852,17136.2983
09/04/2024,17015.7135,17232.6524,16984.6715,17084.2961
09/05/2024,17063.2373,17295.5764,17035.0665,17127.6611
09/06/2024,17137.6194,17166.544,16668.5715,16690.8319
09/09/2024,16835.6741,16923.2777,16732.8349,16884.6028
09/10/2024,16949.641,17036.0712,16801.1256,17025.8801
09/11/2024,17061.4057,17420.233,16787.8361,17395.531
09/12/2024,17413.8888,17605.7221,17338.3183,17569.6763
2024-09-13,17575.2584,17719.1365,17564.6051,17683.9761
2024-09-16,17573.702,17618.3976,17480.6616,17592.1265
2024-09-17,17707.0188,17781.7391,17544.6386,17628.0613
2024-09-18,17663.3834,17832.704,17556.4245,17573.3005
2024-09-19,17980.8906,18099.9285,17909.7466,18013.9811
2024-09-20,17999.3453,18024.3351,17835.6371,17948.3208
2024-09-23,17994.9054,18021.5752,17936.3686,17974.2698
2024-09-24,18046.4417,18091.9606,17863.3752,18074.5214
2024-09-25,18050.357,18155.0348,18040.6226,18082.2052
2024-09-26,18327.3396,18327.3396,18071.7383,18190.2907
2024-09-27,18228.7782,18238.2782,18069.1768,18119.5897
2024-09-30,18069.8263,18198.1576,17997.5604,18189.1704
10/01/2024,18154.9394,18162.7211,17779.7719,17910.3587
10/02/2024,17867.1241,17978.5746,17767.7911,17925.1234
10/03/2024,17859.4862,18011.2519,17826.4157,17918.4755
10/04/2024,18130.4209,18145.2762,17952.3006,18137.8494
10/07/2024,18080.1147,18096.3311,17900.0352,17923.9037
10/08/2024,18017.9289,18203.0449,17989.6966,18182.9162
10/09/2024,18179.2204,18302.0528,18133.0187,18291.6174
10/10/2024,18200.6176,18333.3872,18154.1796,18282.0489
10/11/2024,18217.7339,18375.5343,18208.4413,18342.937
2024-10-14,18426.6584,18547.9153,18423.5993,18502.6854
2024-10-15,18515.9728,18564.2459,18252.5222,18315.5869
2024-10-16,18333.2929,18383.1067,18214.9556,18367.0788
2024-10-17,18537.2118,18541.4586,18368.7941,18373.6092
2024-10-18,18466.0049,18524.3342,18452.5773,18489.5531
2024-10-21,18456.4813,18543.5783,18377.6247,18540.005
2024-10-22,18451.8612,18620.7098,18413.4731,18573.1294
2024-10-23,18502.0604,18509.1876,18146.6091,18276.6545
2024-10-24,18384.1546,18435.3685,18305.4181,18415.4856
